ID,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation_Feedback,
E01,ما هي المعادلة الرياضية الصحيحة لحساب كفاءة الإرسال (Efficiency)؟,P_in / P_out,P_out / P_in,P_out - P_in,P_in * P_out,Option_B,"الإجابة الصحيحة هي (P_out / P_in).
التفسير: الكفاءة هي دائماً نسبة ما يخرج من النظام إلى ما يدخل إليه. الخيار (A) يمثل التوهين وليس الكفاءة.",
E02,ما هي وحدة قياس خسارة النظام (System Loss)؟,Watt (واط),Hertz (هرتز),dB (ديسبل),Joule (جول),Option_C,"الإجابة الصحيحة هي (dB).
التفسير: الخسارة تعبر عن نسبة لوغاريتمية للاستطاعة لذلك تقاس بالديسبل. الواط للاستطاعة، والهرتز للتردد.",
E03,ما هو الشرط الأساسي لانتشار الضوء داخل الليف البصري (الانعكاس الكلي)؟,n1 < n2,n1 = n2,n1 > n2,n1 = 0,Option_C,"الإجابة الصحيحة هي (n1 > n2).
التفسير: لكي يحدث انعكاس كلي داخلي ويحبس الضوء في القلب، يجب أن تكون كثافة (قرينة انكسار) القلب n1 أعلى من الغلاف n2.",
E04,كم تبلغ سرعة انتشار الضوء في الفراغ (c)؟,3x10^6 m/s,3x10^8 km/s,3x10^8 m/s,3x10^5 m/s,Option_C,"الإجابة الصحيحة هي (3x10^8 m/s).
التفسير: هذا ثابت فيزيائي أساسي (300 مليون متر في الثانية). الانتباه للوحدات ضروري (بالمتر وليس بالكيلومتر).",
E05,العلاقة التي تربط بين طول الموجة والتردد هي:,λ = c * f,λ = f / c,λ = c / f,λ = c + f,Option_C,"الإجابة الصحيحة هي (λ = c / f).
التفسير: طول الموجة يتناسب عكسياً مع التردد. كلما زاد التردد قصر طول الموجة.",
E06,"عند التحويل من واط إلى dBm، ما هي القيمة التي نضيفها بعد أخذ اللوغاريتم؟",30,60,-30,10,Option_A,"الإجابة الصحيحة هي (30).
التفسير: القانون هو P(dBm) = 10log(P_watt) + 30. الرقم 60 يستخدم للتحويل إلى dBµ.",
E07,ماذا يمثل الرمز (NA) في مواصفات الألياف البصرية؟,معامل الانكسار,فتحة النفوذ العددية,عدد الأنماط,زاوية الانكسار,Option_B,"الإجابة الصحيحة هي (فتحة النفوذ العددية Numerical Aperture).
التفسير: هي مقياس لمقدرة الليف على تجميع الضوء، وتعتمد على معاملات الانكسار.",
E08,أي مادة من المواد التالية تملك معامل انكسار (n) يساوي 1 تقريباً؟,الزجاج,الماء,الهواء,السيليكون,Option_C,"الإجابة الصحيحة هي (الهواء).
التفسير: الهواء هو الوسط المرجعي ومعامل انكساره 1. الزجاج 1.5 والماء 1.33.",
E09,ما هو القانون المعبر عن طاقة الفوتون؟,Wp = h / f,Wp = h * f,Wp = f / h,Wp = m * c,Option_B,"الإجابة الصحيحة هي (Wp = h * f).
التفسير: طاقة الفوتون تتناسب طردياً مع تردده، وثابت التناسب هو ثابت بلانك (h).",
E10,"في الليف ذو الدليل الدرجي (Step Index)، كيف تكون قرينة الانكسار في القلب؟",متغيرة تدريجياً,ثابتة,تتناقص من المركز,تتزايد نحو الغلاف,Option_B,"الإجابة الصحيحة هي (ثابتة).
التفسير: سمي ""درجي"" لأن القرينة ثابتة في القلب ثم تهبط ""بدرجة"" واحدة فجأة عند الغلاف، عكس المتدرج (GRIN).",
