ID,Phrase_Text
W01,زبطلي وضعك بالمرات الجاية !
W02,يلا معلش بتهون..
W03,راحت عليك هالمرة.. تعيش وتاكل غيرها.
W04,مو مشكلة.. العبرة بالخواتيم.
W05,شكلك استعجلت شوي.. خد وقتك.
W06,لا تيأس.. الغلط هو اللي بيعلمك.
W07,كان بدها شوية تركيز زيادة.. بسيطة.
W08,يا خسارة.. كانت قريبة بس مو هي.
W09,معلش.. امسحها بوشي وكمل.
W10,شكلك عم تجرب حظك اليوم.. بس ما مشي الحال.
W11,هاد درس مرتب مشان ما تنساها بالفحص.
W12,لا تحط ببالك.. كمل عالسؤال اللي بعدو.
W13,بسيطة.. شوف الحل الصح والتفسير تحت.
W14,خانك التعبير هالمرة..
W15,روق وخد نفس.. وعوض بالجاية.
W16,مو هي.. بس محاولة جيدة.
W17,الظاهر المعلومات فايتة ببعضها.. رتب افكارك.
W18,لا تخلط الزيت بالمي.. ركز منيح.
W19,كبوة جواد.. بانتظار عودتك بقوة.
W20,شكلك نعسان.. صحصح معنا!
W21,الحظ مو محالفك بهالسؤال.
W22,غلطة الشاطر..
W23,مممم.. للأسف خطأ.
W24,بدها إعادة نظر يا كبير.
W25,لا تستسلم.. لسا في أسئلة كتير للتعويض.
W26,ركز بالخيارات منيح قبل ما تكبس الزر.
W27,العوض بسلامتك.. شوف التفسير.
W28,هي بدها صفنة.. لا تستعجل بالحل.
W29,الجواب الصح عم يناديك.. بس انت اخترت غيرو.
W30,يلا بسيطة.. المهم الفكرة تكون وصلت.
